gpt-5.4,gpt-5.4-mini
"Feature binding enables the integration of multiple stimulus attributes into coherent object representations, yet the neural representational format supporting this process remains poorly understood. Here, we investigated the geometry of feature-binding representations in the human intraparietal sulcus (IPS) using functional magnetic resonance imaging and multivariate pattern analysis. Participants viewed and maintained conjunctions of visual features while we measured distributed activity patterns across parietal and visual cortex. Representational similarity analyses revealed that activity in IPS encoded bound feature conjunctions in a format that could not be explained by the linear sum of their individual component features, indicating a conjunctive representational structure. Compared with early visual areas, IPS showed greater abstraction and tolerance across changes in low-level stimulus properties, while preserving information about feature combinations relevant for object identity. Geometric analyses further demonstrated that bound representations in IPS occupied a structured, low-dimensional manifold that separated conjunctions according to task-relevant relational organization rather than simple sensory similarity. The strength of this conjunctive geometry predicted individual differences in behavioral accuracy and resistance to feature-misbinding errors. These findings identify the IPS as a key locus for feature binding and suggest that its population codes support integration by transforming separable sensory features into stable, behaviorally meaningful representational geometries.","Feature binding—the integration of object features into coherent representations—is central to adaptive decision-making, yet its computational implementation in subcortical reward circuitry remains poorly understood. Here, we present a computational modelling framework for feature binding in the ventral striatum that combines reinforcement learning with latent-state inference to explain how conjunctive representations of cue identity, context, and outcome value are formed and updated. Using a hierarchical model of striatal prediction errors, we show that ventral striatal activity is best captured by a binding mechanism that selectively weights feature conjunctions according to their predictive relevance, rather than by independent feature coding alone. Model comparisons indicate that binding improves fit to behavioural choice patterns, neural response dynamics, and trial-by-trial learning signals, particularly under conditions of feature ambiguity and outcome uncertainty. Simulations further demonstrate that the proposed model accounts for rapid generalization to novel cue combinations while preserving specificity for previously learned associations. These findings suggest that the ventral striatum supports flexible decision-making through computationally efficient binding of distributed feature information into value-based action representations."
"Associative learning is thought to reshape hippocampal population activity, yet the representational geometry through which CA3 supports the formation and retrieval of learned associations remains poorly understood. Here, we investigated how neural population codes in CA3 evolve during associative learning and asked whether learning induces a structured geometry that links related experiences while preserving pattern separation across distinct events. Using large-scale recordings of CA3 ensembles during the acquisition and expression of cue–outcome associations, we quantified changes in single-neuron tuning, population similarity structure, and low-dimensional manifold organization across learning. We found that learning progressively transformed CA3 activity from a predominantly stimulus-bound code into a relational code organized by associative structure. Representations of paired items became selectively closer in population space, while unpaired or behaviorally irrelevant stimuli remained separable, indicating that learning induces a geometry that balances integration with discrimination. This reorganization was accompanied by increased dimensional efficiency and the emergence of stable population subspaces that generalized across repeated trials and behavioral states. Critically, the degree of geometric alignment among associated representations predicted trial-by-trial behavioral performance and the strength of subsequent memory expression. Together, these results identify a population-level signature of associative learning in CA3 and suggest that the neural geometry of this recurrent hippoc","Pattern separation, the ability to discriminate between similar experiences and representations, is essential for adaptive memory and depends on coordinated modulation of hippocampal circuits. The locus coeruleus (LC), as a major source of forebrain norepinephrine, is well positioned to regulate this process, yet the circuit-level mechanisms by which LC activity shapes pattern separation remain unclear. Here, we used optogenetic manipulations of LC projections combined with behavioral, electrophysiological, and anatomical approaches to test how noradrenergic signaling influences hippocampal encoding of overlapping inputs. Selective activation of LC neurons enhanced discrimination of similar contexts and improved performance on tasks requiring fine-grained mnemonic separation, whereas temporally precise inhibition of LC activity impaired these behaviors without broadly affecting locomotion or motivation. At the circuit level, LC stimulation increased dentate gyrus sparsity and reduced overlap in ensemble recruitment across similar stimuli, consistent with a shift toward more orthogonal representations. These effects were accompanied by enhanced synaptic gain and altered inhibitory-excitatory balance in hippocampal subregions, suggesting that norepinephrine facilitates pattern separation by biasing network dynamics toward selective encoding. Pharmacological blockade of adrenergic receptors abolished the behavioral and physiological benefits of LC activation, confirming a"
"Stimulus-response learning depends on the gradual formation of stable mappings between sensory events and actions, yet the neural significance of trial-by-trial fluctuations during this process remains poorly understood. In the present study, we examined whether variability in supramarginal gyrus activity tracks learning-related changes in performance and contributes to the establishment of stimulus-response associations. Healthy adult participants performed a stimulus-response learning task while brain activity was measured with functional magnetic resonance imaging, allowing single-trial estimates of blood oxygenation level-dependent responses across learning. Behavioral performance showed the expected improvement with practice, characterized by increasing accuracy and reduced response times. Critically, trial-by-trial activity in the supramarginal gyrus systematically varied as a function of learning stage and behavioral outcome, with greater modulation observed during early acquisition when associations were less stable. Variability in supramarginal gyrus responses predicted subsequent trial success and covaried with reductions in behavioral uncertainty, suggesting that this region is particularly engaged when stimulus-response mappings are being updated or selected under conditions of competition. Functional coupling analyses further indicated that supramarginal gyrus variability was associated with coordinated activity in frontoparietal and sensorimotor networks, consistent with a role in linking perceptual representations to","Long-term memory is strongly influenced by emotional arousal and amygdala-dependent modulation of hippocampal processing, yet it remains unclear whether real-time functional MRI neurofeedback can be used to causally enhance memory by upregulating amygdala activity during encoding. Here we tested whether participants could learn to voluntarily increase amygdala activation using closed-loop neurofeedback and whether this modulation would improve subsequent memory for encoded material. Healthy adults completed a multi-session real-time fMRI training paradigm in which moment-to-moment amygdala activity was translated into feedback, followed by an encoding task and delayed recognition and source memory tests. Participants receiving contingent amygdala feedback showed reliable increases in target-region activation across training runs relative to control conditions, indicating successful self-regulation. Critically, greater amygdala upregulation during encoding predicted superior delayed memory performance, particularly for emotionally neutral items, with enhanced item recognition and source recollection compared with sham or noncontingent feedback groups. Exploratory analyses suggested that memory benefits were associated with increased functional coupling between the amygdala and hippocampus during successful regulation periods. These findings provide evidence that real-time fMRI neurofeedback can be used to modulate limbic circuitry in a manner that yields durable improvements"
"Accurate estimation of temporal duration is essential for perception and action, yet the lateralized neural mechanisms supporting this function remain incompletely understood. In the present study, we investigated whether duration estimation engages the premotor cortex asymmetrically across hemispheres. Healthy adult participants performed a duration estimation task while cortical activity was recorded using functional neuroimaging, allowing comparison of left and right premotor responses across short and long temporal intervals. Behavioral results showed reliable estimation performance with systematic increases in error as interval length increased. At the neural level, duration estimation elicited robust activation in bilateral premotor regions, but with significantly greater engagement of the right premotor cortex relative to the left. This hemispheric asymmetry was most pronounced during longer intervals and under conditions requiring greater temporal precision. Moreover, right premotor activity was positively associated with individual estimation accuracy, suggesting a functional contribution to temporal computation rather than nonspecific task demand. These findings indicate that premotor cortex involvement in duration estimation is not bilaterally equivalent and support a preferential role for the right hemisphere in the representation and evaluation of temporal intervals. More broadly, the results refine current models of distributed timing networks by identifying hemispheric asymmetry in premotor contributions to human time perception.","Source memory requires the retrieval of contextual details that bind an event to its origin, and sustained engagement of cognitive control may be critical when such retrieval unfolds over time. In the present study, we examined the temporal dynamics of anterior cingulate cortex (ACC) activation during sustained source memory using functional neuroimaging and a time-sensitive memory retrieval paradigm. Participants encoded items paired with distinct contextual features and later completed a delayed source memory test that separated early and late phases of retrieval. ACC activity was assessed as a function of source accuracy, retrieval demands, and elapsed time during the test period. We found that ACC responses were selectively elevated during successful source memory, with the strongest activation emerging when retrieval was prolonged and uncertainty remained high. This sustained ACC engagement was not fully explained by general task difficulty or response selection demands, suggesting a specific role in maintaining control over contextually guided retrieval. Moreover, trial-by-trial analyses indicated that ACC activity tracked the accumulation of mnemonic evidence and predicted subsequent source accuracy. These findings support a model in which the ACC contributes to sustained monitoring and control during source memory, particularly when contextual information must be actively maintained and evaluated over extended retrieval periods."
"Self-referential processing has been extensively linked to cortical midline structures, yet the contribution of subcortical nuclei to this fundamental aspect of cognition remains poorly understood. In the present study, we investigated spectral power dynamics in the globus pallidus during self-referential processing to clarify its potential role in internally oriented cognition. Local field potentials were recorded from the globus pallidus in participants undergoing intracranial monitoring while they completed a task requiring judgments about self-related and non-self-related trait information. Time–frequency analyses were used to quantify condition-specific changes in oscillatory power across canonical frequency bands.

Self-referential judgments were associated with robust modulation of pallidal activity relative to non-self conditions. Specifically, self-related processing elicited significant decreases in beta-band power and concurrent increases in low-frequency and gamma-band activity, with effects emerging shortly after stimulus onset and persisting through the decision period. These spectral changes were most pronounced during trials associated with faster and more consistent self-referential responses, suggesting a relationship between pallidal oscillatory dynamics and the efficiency of self-related evaluation. Exploratory analyses further indicated that the magnitude of spectral modulation covaried with behavioral indices of self-bias.

These findings provide evidence that the globus","Perceptual learning depends on neural mechanisms that transform sensory experience into durable changes in behavior, yet the contribution of the habenula to this process remains poorly understood. Here we compare habenular function across species to identify conserved computations supporting perceptual learning. Using convergent behavioral, electrophysiological, and circuit-level analyses in rodents, nonhuman primates, and humans, we examined how habenular activity tracks stimulus uncertainty, prediction error, and learning rate during a visual discrimination task. Across species, habenular responses were strongest when sensory evidence was ambiguous or violated expected outcomes, and these signals predicted subsequent improvements in perceptual accuracy. In rodents, optogenetic perturbation of lateral habenula activity disrupted trial-by-trial updating and slowed acquisition of stimulus contingencies. In primates and humans, functional neuroimaging and intracranial recordings revealed coordinated habenula interactions with midbrain dopaminergic and cortical sensory networks, suggesting a conserved role in modulating learning under uncertainty. Computational modeling further indicated that habenular signals were best explained by a negative teaching signal that dynamically adjusts sensitivity to sensory prediction errors. Together, these findings support a cross-species framework in which the habenula gates perceptual learning by integrating aversive expectation and uncertainty to regulate"
"Magnitude estimation engages distributed neural processes that transform sensory input into quantitative judgments, yet the spatiotemporal dynamics of these computations remain incompletely characterized. In this study, we examined event-related potentials (ERPs) during a magnitude estimation task to identify when and where the brain differentiates numerical quantity. Participants estimated the magnitude of visually presented stimuli varying parametrically in quantity while high-density electroencephalography was recorded. ERP analyses focused on stimulus-locked components and their modulation by magnitude, with complementary topographic mapping used to characterize evolving scalp distributions over time. Results revealed an early posterior modulation beginning approximately 150–200 ms after stimulus onset, consistent with rapid perceptual encoding of quantitative information, followed by a broader centroparietal effect emerging around 250–400 ms that scaled with estimated magnitude. At later latencies, sustained parietal activity was associated with response selection and evaluative processes, suggesting continued transformation from perceptual representation to explicit judgment. Topographic differences across time windows indicated that magnitude estimation is supported not by a single unitary process but by a sequence of functionally distinct neural states. Together, these findings demonstrate that magnitude estimation unfolds through temporally ordered stages involving early sensory discrimination, intermediate quantity-sensitive evaluation, and later decision","Rule abstraction requires the flexible extraction of task-relevant regularities from sensory input, yet the directionality of information flow supporting this process remains poorly understood. Here, we investigated whether occipital cortex exerts top-down influence on the intraparietal sulcus (IPS) during rule learning and abstraction. Using functional neuroimaging combined with effective connectivity analyses, we measured neural responses while participants inferred abstract rules from visual stimuli under conditions that dissociated perceptual processing from rule formation. We found that rule abstraction was associated with increased coupling from occipital regions to IPS, alongside enhanced IPS activity and reduced dependence on stimulus-specific features. This modulation was strongest when rules had to be generalized across changing perceptual contexts, suggesting that early visual areas provide structured representations that guide parietal integration during abstraction. These findings indicate that occipital cortex does not merely relay sensory information forward, but can shape higher-order parietal computations through top-down interactions that support the emergence of abstract rule representations. Together, the results identify a dynamic occipito-parietal circuit for rule abstraction and highlight the role of sensory cortex in organizing flexible cognitive control."
"Decision-making accuracy depends critically on executive control processes supported by the dorsolateral prefrontal cortex (DLPFC), yet causal evidence that individuals can be trained to enhance these processes through neurofeedback remains limited. Here, we tested whether neurofeedback targeting DLPFC activity improves decision-making accuracy in healthy adults. Participants were randomly assigned to an active neurofeedback group, which received real-time feedback derived from DLPFC signals, or to a sham control group receiving non-contingent feedback across multiple training sessions. Before and after training, participants completed a battery of perceptual and value-based decision-making tasks designed to assess accuracy, response speed, and confidence, while behavioral and neural indices of cognitive control were measured. Relative to the sham group, participants receiving active neurofeedback showed greater upregulation of DLPFC activity over training and significant post-training improvements in decision-making accuracy, particularly under conditions of ambiguity and high conflict. These gains were accompanied by enhanced functional coupling between DLPFC and frontoparietal control regions, as well as reduced decision noise without a corresponding cost in response time. Moreover, the magnitude of DLPFC modulation during training predicted individual differences in behavioral improvement, suggesting a mechanistic link between learned neural regulation and","Auditory stream segregation—the ability to organize complex acoustic scenes into distinct perceptual objects—is essential for communication and is supported by distributed frontotemporal networks. Although frontotemporal dementia (FTD) is characterized by prominent deficits in social, language, and executive functions, its impact on the perceptual organization of sound remains poorly understood. Here, we combined behavioral psychophysics with neuroimaging to examine auditory stream segregation in patients with FTD and age-matched healthy controls. Participants completed tone-sequence tasks manipulating frequency separation and temporal structure to quantify perceptual segregation thresholds, alongside measures of sustained attention and basic auditory acuity. In parallel, structural and functional imaging were used to assess the integrity of frontal and temporal regions implicated in auditory scene analysis. Compared with controls, patients with FTD showed reduced sensitivity to stream segregation, with elevated thresholds and greater trial-to-trial variability, despite relatively preserved basic hearing. Deficits were most pronounced in patients with greater atrophy in the anterior temporal cortex and inferior frontal gyrus, and were associated with weakened functional coupling within frontotemporal auditory networks. These effects remained significant after accounting for global cognitive status, suggesting that impaired stream segregation reflects a specific disruption of perceptual organization rather than a nonspecific consequence"
"Theta-band activity in the human entorhinal cortex has been implicated in memory, navigation, and the temporal organization of experience, yet its role in behavioral priming remains poorly understood. Here, we investigated whether entorhinal theta oscillations support priming by facilitating the processing of repeated or contextually related stimuli. Using intracranial electrophysiological recordings from human participants performing a visual priming task, we measured changes in local field potential power, phase consistency, and stimulus-locked responses in the entorhinal cortex during prime and target presentation. Repeated and semantically related targets elicited faster behavioral responses accompanied by enhanced theta phase alignment and transient increases in theta power relative to unprimed targets. Critically, the magnitude of theta modulation predicted trial-by-trial reaction time benefits, indicating a direct relationship between entorhinal oscillatory dynamics and priming strength. Cross-regional analyses further suggested increased theta-band coupling between entorhinal cortex and medial temporal lobe structures during successful priming, consistent with coordinated retrieval and predictive processing. These findings identify entorhinal theta oscillations as a neural mechanism linking prior experience to facilitated perception and action, and extend current accounts of priming by highlighting a central role","Predictive coding theories propose that the brain continuously generates and updates expectations about incoming sensory information, with higher-order regions transmitting predictions and lower-order regions signaling prediction errors. Here we investigated whether the inferior frontal gyrus (IFG) supports predictive coding during category learning, a process that requires learners to form and revise abstract representations as novel exemplars are encountered. Using functional magnetic resonance imaging and a rule-based category learning paradigm, participants learned to classify stimuli across repeated feedback-driven trials while their behavioral performance and neural responses were modeled with trial-wise estimates of expected category membership and prediction error. We found that activity in the IFG tracked violations of category expectations, with stronger responses for trials producing larger prediction errors, particularly during early learning when category hypotheses were still unstable. In contrast, as learning progressed and predictions became more precise, IFG responses shifted toward anticipatory activity consistent with the maintenance of category expectations. Connectivity analyses further suggested increased coupling between IFG and posterior sensory regions during high-uncertainty trials, supporting a dynamic top-down modulation of perceptual processing. These findings indicate that the IFG contributes to category learning by integrating prediction and error signals to refine abstract category representations. More broadly, the results provide evidence that predictive coding mechanisms extend beyond perception to"
"Spatial reasoning is a core component of human cognition, yet the large-scale neural architecture that supports individual differences in this ability remains incompletely understood. Although Broca’s area is classically associated with language, converging evidence suggests that it also contributes to domain-general hierarchical processing and relational integration, functions that may be relevant for spatial cognition. In the present study, we tested whether resting-state functional connectivity of Broca’s area predicts spatial reasoning performance in healthy adults. Participants underwent resting-state functional magnetic resonance imaging and completed a standardized battery of spatial reasoning measures assessing mental rotation, visuospatial analogical reasoning, and spatial working memory. Seed-based connectivity analyses focused on Broca’s area and quantified its intrinsic coupling with frontal, parietal, temporal, and occipital regions. Predictive models were then used to examine whether connectivity patterns accounted for interindividual variation in spatial reasoning after controlling for age, sex, head motion, and general cognitive ability.

Results showed that stronger resting-state connectivity between Broca’s area and a frontoparietal network, including dorsolateral prefrontal cortex, inferior parietal lobule, and supplementary motor regions, was associated with better spatial reasoning performance. In contrast, increased coupling between Broca’s area","Counterfactual reasoning—the ability to mentally simulate alternative outcomes to past events—is a core component of adaptive decision-making, yet its network-level neural organization remains incompletely understood. Here, we investigated the functional architecture supporting counterfactual thought using graph-theoretic analysis of task-based neuroimaging data. Participants completed a counterfactual reasoning paradigm that contrasted alternative-outcome generation with matched factual control conditions while whole-brain activity was recorded. We constructed functional connectivity networks and quantified topological properties including modularity, hubness, efficiency, and community structure to identify the systems-level configuration associated with counterfactual processing. Counterfactual reasoning was characterized by increased integration across frontoparietal, default mode, and salience-related regions, alongside a shift toward a more flexible but less segregated network organization. Key hubs emerged in medial prefrontal, posterior cingulate, temporoparietal, and inferior frontal cortices, suggesting coordinated contributions from self-referential simulation, memory retrieval, perspective shifting, and executive control. Graph metrics further indicated that successful counterfactual generation depended on dynamic coupling between internally oriented and control networks, rather than on isolated activation within a single locus. These findings support a model in which counterf"
"Cognitive control enables flexible, goal-directed behavior, yet its fast-evolving neural dynamics remain incompletely understood. Using magnetoencephalography (MEG), we examined the temporal organization of cognitive control during a conflict task designed to dissociate stimulus processing, response selection, and performance monitoring. Time-resolved sensor- and source-level analyses revealed a rapid cascade of activity spanning frontoparietal and medial frontal regions. Early post-stimulus signals reflected attentional selection and conflict detection, followed by sustained recruitment of dorsolateral prefrontal and parietal cortices during response implementation. In addition, medial frontal activity increased on high-conflict and error trials, consistent with a role in adaptive performance monitoring. Multivariate decoding showed that task-relevant information emerged within the first few hundred milliseconds after stimulus onset and dynamically shifted from posterior sensory regions to anterior control networks. Functional connectivity analyses further indicated transient increases in theta-band coupling between medial frontal and lateral prefrontal regions during periods of elevated control demand. Together, these findings provide evidence that cognitive control is supported by temporally ordered and frequency-specific interactions across distributed cortical systems. More broadly, the results highlight the utility of MEG for resolving the millisecond-scale dynamics through which the human","Associative learning underlies the formation of links between stimuli and outcomes, yet the neural dynamics supporting this process remain incompletely understood. In the present study, we examined electrophysiological correlates of associative learning with a focus on the P300 component, a well-established marker of attention, context updating, and memory-related processing. Participants completed a learning task in which stimulus–outcome contingencies were acquired across repeated trials while scalp electroencephalography was recorded. Event-related potentials were analyzed to determine how P300 amplitude and latency changed as associations became established. Results showed that successful learning was accompanied by systematic modulation of the P300, with larger amplitudes and reduced latencies observed for stimuli that had been reliably associated with outcomes. These effects were most pronounced during later learning stages, suggesting that P300 dynamics track the consolidation of stimulus–response mappings and the updating of internal predictive models. The findings support the view that the P300 reflects neural processes central to associative learning and provide evidence that electrophysiological measures can sensitively index the progression from initial encoding to stable association formation."
